"Strain","Uptake_Reactions","Secretion_Reactions","Total_Exchanged"
"Escherichia_coli_2866450",60,39,99
"Escherichia_coli_2866550",58,42,100
"Escherichia_coli_2866750",61,41,102
"Escherichia_coli_2867750",59,40,99
"Escherichia_coli_2871950",62,42,104
"Escherichia_coli_2872000",61,40,101
"Escherichia_coli_2872800",62,37,99
"Escherichia_coli_2875000",62,41,103
"Escherichia_coli_2875150",60,41,101
"Escherichia_coli_2_3916",60,40,100
"Escherichia_coli_2_4168",63,39,102
"Escherichia_coli_3003",67,43,110
"Escherichia_coli_3006",58,38,96
"Escherichia_coli_3431",58,38,96
"Escherichia_coli_3_2303",61,39,100
"Escherichia_coli_3_2608",60,35,95
"Escherichia_coli_3_3884",59,36,95
"Escherichia_coli_3_4870",60,37,97
"Escherichia_coli_4_0522",63,42,105
"Escherichia_coli_4_0967",60,39,99
"Escherichia_coli_4_1_47FAA",60,34,94
"Escherichia_coli_536",65,46,111
"Escherichia_coli_53638",64,42,106
"Escherichia_coli_536A",58,27,85
"Escherichia_coli_5412",54,27,81
"Escherichia_coli_541_1",58,39,97
"Escherichia_coli_541_15",52,25,77
"Escherichia_coli_55989",57,28,85
"Escherichia_coli_5905",56,25,81
"Escherichia_coli_5_0588",60,38,98
"Escherichia_coli_5_0959",58,41,99
"Escherichia_coli_5_2239",59,38,97
"Escherichia_coli_6_0172",57,31,88
"Escherichia_coli_75",55,30,85
"Escherichia_coli_7_1982",56,27,83
"Escherichia_coli_83972",59,30,89
"Escherichia_coli_88_0221",58,27,85
"Escherichia_coli_88_1042",56,24,80
"Escherichia_coli_88_1467",56,26,82
"Escherichia_coli_89_0511",55,28,83
"Escherichia_coli_8_0416",60,28,88
"Escherichia_coli_8_0566",53,27,80
"Escherichia_coli_8_0569",55,26,81
"Escherichia_coli_8_0586",55,28,83
"Escherichia_coli_8_2524",51,25,76
"Escherichia_coli_900105_10e",59,28,87
"Escherichia_coli_90_0039",58,27,85
"Escherichia_coli_90_0091",54,29,83
"Escherichia_coli_90_2281",55,26,81
"Escherichia_coli_93_001",57,29,86
"Escherichia_coli_93_0055",54,27,81
"Escherichia_coli_93_0056",56,30,86
"Escherichia_coli_93_0624",55,26,81
"Escherichia_coli_94_0618",57,28,85
"Escherichia_coli_95_0083",55,25,80
"Escherichia_coli_95_0183",53,28,81
"Escherichia_coli_95_0941",54,27,81
"Escherichia_coli_95_0943",56,28,84
"Escherichia_coli_95_1288",58,25,83
"Escherichia_coli_96_0107",57,28,85
"Escherichia_coli_96_0109",55,29,84
"Escherichia_coli_96_0427",56,24,80
"Escherichia_coli_96_0428",59,27,86
"Escherichia_coli_96_0497",51,28,79
"Escherichia_coli_96_0932",57,27,84
"Escherichia_coli_96_0939",56,28,84
"Escherichia_coli_96_154",53,24,77
"Escherichia_coli_97_0003",60,29,89
"Escherichia_coli_97_0007",56,24,80
"Escherichia_coli_97_0010",52,26,78
"Escherichia_coli_97_0246",52,24,76
"Escherichia_coli_97_0259",56,26,82
"Escherichia_coli_97_0264",57,25,82
"Escherichia_coli_99_0670",54,28,82
"Escherichia_coli_99_0672",55,27,82
"Escherichia_coli_99_0678",51,25,76
"Escherichia_coli_99_0713",55,29,84
"Escherichia_coli_99_0741",59,29,88
"Escherichia_coli_99_0814",56,28,84
"Escherichia_coli_99_0815",55,24,79
"Escherichia_coli_99_0816",55,26,81
"Escherichia_coli_99_0839",59,27,86
"Escherichia_coli_99_0848",58,29,87
"Escherichia_coli_99_1753",56,30,86
"Escherichia_coli_99_1762",58,29,87
"Escherichia_coli_99_1775",55,25,80
"Escherichia_coli_99_1781",55,26,81
"Escherichia_coli_99_1805",55,27,82
"Escherichia_coli_9_0111",55,27,82
"Escherichia_coli_9_1649",59,33,92
"Escherichia_coli_AA86",60,29,89
"Escherichia_coli_ABU_83972",60,30,90
"Escherichia_coli_AD30",56,27,83
"Escherichia_coli_AI27",52,25,77
"Escherichia_coli_APEC_O1",61,30,91
"Escherichia_coli_APEC_O78",58,29,87
"Escherichia_coli_ARS4_2123",58,30,88
"Escherichia_coli_ATCC_25922",59,27,86
"Escherichia_coli_ATCC_700728",55,29,84
"Escherichia_coli_ATCC_8739",57,28,85
"Escherichia_coli_B088",57,28,85
"Escherichia_coli_B093",56,27,83
"Escherichia_coli_B171",51,24,75
"Escherichia_coli_B185",49,30,79
"Escherichia_coli_B354",57,25,82
"Escherichia_coli_B41",54,32,86
"Escherichia_coli_B799",55,27,82
"Escherichia_coli_B7A",58,25,83
"Escherichia_coli_BCE001_MS16",58,28,86
"Escherichia_coli_BCE002_MS12",57,26,83
"Escherichia_coli_BCE006_MS_23",55,29,84
"Escherichia_coli_BCE007_MS_11",58,25,83
"Escherichia_coli_BCE008_MS_13",54,26,80
"Escherichia_coli_BCE011_MS_01",58,27,85
"Escherichia_coli_BCE019_MS_13",53,25,78
"Escherichia_coli_BCE030_MS_09",55,26,81
"Escherichia_coli_BCE032_MS_12",57,27,84
"Escherichia_coli_BCE034_MS_14",58,26,84
"Escherichia_coli_BL21",61,31,92
"Escherichia_coli_BL21DE3",48,23,71
"Escherichia_coli_BW25113",54,20,74
"Escherichia_coli_BW2952",56,30,86
"Escherichia_coli_B_str_REL606",54,29,83
"Escherichia_coli_C639_08",59,30,89
"Escherichia_coli_C844_97",61,33,94
"Escherichia_coli_CB7326",56,29,85
"Escherichia_coli_CFT073",57,29,86
"Escherichia_coli_CUMT8",52,23,75
"Escherichia_coli_C_34666",53,29,82
"Escherichia_coli_D9",61,31,92
"Escherichia_coli_DEC10A",55,23,78
"Escherichia_coli_DEC10B",55,27,82
"Escherichia_coli_DEC10C",52,24,76
"Escherichia_coli_DEC10D",52,24,76
"Escherichia_coli_DEC10E",53,23,76
"Escherichia_coli_DEC10F",51,26,77
"Escherichia_coli_DEC11A",58,25,83
"Escherichia_coli_DEC11B",52,27,79
"Escherichia_coli_DEC11C",60,27,87
"Escherichia_coli_DEC11D",55,26,81
"Escherichia_coli_DEC11E",53,26,79
"Escherichia_coli_DEC12A",51,24,75
"Escherichia_coli_DEC12B",53,27,80
"Escherichia_coli_DEC12C",56,27,83
"Escherichia_coli_DEC12D",55,26,81
"Escherichia_coli_DEC12E",58,27,85
"Escherichia_coli_DEC13A",55,26,81
"Escherichia_coli_DEC13B",53,27,80
"Escherichia_coli_DEC13C",56,29,85
"Escherichia_coli_DEC13D",55,27,82
"Escherichia_coli_DEC13E",55,28,83
"Escherichia_coli_DEC14A",55,29,84
"Escherichia_coli_DEC14B",54,24,78
"Escherichia_coli_DEC14C",55,29,84
"Escherichia_coli_DEC14D",57,29,86
"Escherichia_coli_DEC15A",55,25,80
"Escherichia_coli_DEC15B",56,25,81
"Escherichia_coli_DEC15C",55,27,82
"Escherichia_coli_DEC15D",53,27,80
"Escherichia_coli_DEC15E",61,25,86
"Escherichia_coli_DEC1A",54,26,80
"Escherichia_coli_DEC1B",51,26,77
"Escherichia_coli_DEC1C",54,26,80
"Escherichia_coli_DEC1D",54,25,79
"Escherichia_coli_DEC1E",55,27,82
"Escherichia_coli_DEC2A",58,28,86
"Escherichia_coli_DEC2B",54,26,80
"Escherichia_coli_DEC2C",55,27,82
"Escherichia_coli_DEC2D",56,27,83
"Escherichia_coli_DEC2E",53,27,80
"Escherichia_coli_DEC3A",51,28,79
"Escherichia_coli_DEC3B",54,25,79
"Escherichia_coli_DEC3C",58,27,85
"Escherichia_coli_DEC3D",58,25,83
"Escherichia_coli_DEC3E",62,30,92
"Escherichia_coli_DEC3F",59,26,85
"Escherichia_coli_DEC4A",56,28,84
"Escherichia_coli_DEC4B",61,27,88
"Escherichia_coli_DEC4C",57,24,81
"Escherichia_coli_DEC4D",56,25,81
"Escherichia_coli_DEC4E",54,28,82
"Escherichia_coli_DEC4F",57,27,84
"Escherichia_coli_DEC5A",56,26,82
"Escherichia_coli_DEC5B",55,24,79
"Escherichia_coli_DEC5C",54,28,82
"Escherichia_coli_DEC5D",56,25,81
"Escherichia_coli_DEC5E",51,24,75
"Escherichia_coli_DEC6A",58,29,87
"Escherichia_coli_DEC6B",51,22,73
"Escherichia_coli_DEC6C",55,29,84
"Escherichia_coli_DEC6D",52,25,77
"Escherichia_coli_DEC6E",58,28,86
"Escherichia_coli_DEC7A",58,25,83
"Escherichia_coli_DEC7B",56,33,89
"Escherichia_coli_DEC7C",58,26,84
"Escherichia_coli_DEC7D",58,28,86
"Escherichia_coli_DEC7E",58,29,87
"Escherichia_coli_DEC8A",53,27,80
"Escherichia_coli_DEC8B",56,27,83
"Escherichia_coli_DEC8C",56,28,84
"Escherichia_coli_DEC8D",53,24,77
"Escherichia_coli_DEC8E",53,27,80
"Escherichia_coli_DEC9A",57,23,80
"Escherichia_coli_DEC9B",54,26,80
"Escherichia_coli_DEC9C",55,29,84
"Escherichia_coli_DEC9D",56,25,81
"Escherichia_coli_DEC9E",54,25,79
"Escherichia_coli_DH1",57,29,86
"Escherichia_coli_E101",55,25,80
"Escherichia_coli_E110019",53,23,76
"Escherichia_coli_E1167",58,27,85
"Escherichia_coli_E128010",57,26,83
"Escherichia_coli_E1520",60,28,88
"Escherichia_coli_E22",51,25,76
"Escherichia_coli_E2348_69",52,29,81
"Escherichia_coli_E24377A",53,27,80
"Escherichia_coli_E482",53,27,80
"Escherichia_coli_EC1734",58,29,87
"Escherichia_coli_EC1735",55,28,83
"Escherichia_coli_EC1736",58,28,86
"Escherichia_coli_EC1737",58,28,86
"Escherichia_coli_EC1738",57,28,85
"Escherichia_coli_EC1845",57,29,86
"Escherichia_coli_EC1846",55,25,80
"Escherichia_coli_EC1847",57,29,86
"Escherichia_coli_EC1848",56,29,85
"Escherichia_coli_EC1849",57,29,86
"Escherichia_coli_EC1850",57,29,86
"Escherichia_coli_EC1856",57,29,86
"Escherichia_coli_EC1862",55,28,83
"Escherichia_coli_EC1863",55,27,82
"Escherichia_coli_EC1864",55,27,82
"Escherichia_coli_EC1865",58,28,86
"Escherichia_coli_EC1866",54,29,83
"Escherichia_coli_EC1869",55,25,80
"Escherichia_coli_EC1870",53,24,77
"Escherichia_coli_EC302_04",55,29,84
"Escherichia_coli_EC4013",52,27,79
"Escherichia_coli_EC4100B",53,28,81
"Escherichia_coli_EC4196",55,27,82
"Escherichia_coli_EC4203",57,29,86
"Escherichia_coli_EC4402",54,27,81
"Escherichia_coli_EC4421",54,26,80
"Escherichia_coli_EC4422",54,26,80
"Escherichia_coli_EC4436",61,29,90
"Escherichia_coli_EC4437",57,28,85
"Escherichia_coli_EC4439",57,29,86
"Escherichia_coli_EC4448",62,28,90
"Escherichia_coli_ED1a",56,27,83
"Escherichia_coli_EPEC_C342_62",57,25,82
"Escherichia_coli_EPECa12",57,26,83
"Escherichia_coli_EPECa14",55,27,82
"Escherichia_coli_ERR1203920",57,22,79
"Escherichia_coli_ERR2221112",52,18,70
"Escherichia_coli_ERR2221113",57,16,73
"Escherichia_coli_ERR2221128",58,24,82
"Escherichia_coli_ERR2221214",56,18,74
"Escherichia_coli_ERR2221221",53,19,72
"Escherichia_coli_ERR2221222",54,20,74
"Escherichia_coli_ERR2221227",59,22,81
"Escherichia_coli_ERR2221250",57,21,78
"Escherichia_coli_ERR2221318",57,19,76
"Escherichia_coli_ERR2221398",54,21,75
"Escherichia_coli_ERR2221401",53,17,70
"Escherichia_coli_ETEC_H10407",62,25,87
"Escherichia_coli_Envira_10_1",54,23,77
"Escherichia_coli_Envira_8_11",54,26,80
"Escherichia_coli_F11",53,30,83
"Escherichia_coli_FDA504",56,25,81
"Escherichia_coli_FDA505",55,29,84
"Escherichia_coli_FDA506",59,27,86
"Escherichia_coli_FDA507",54,26,80
"Escherichia_coli_FDA517",58,26,84
"Escherichia_coli_FRIK1985",54,29,83
"Escherichia_coli_FRIK1990",56,28,84
"Escherichia_coli_FRIK1996",58,23,81
"Escherichia_coli_FRIK1997",56,29,85
"Escherichia_coli_FRIK1999",55,26,81
"Escherichia_coli_FRIK2001",54,28,82
"Escherichia_coli_FRIK523",59,27,86
"Escherichia_coli_FRIK920",57,28,85
"Escherichia_coli_FVEC1302",56,27,83
"Escherichia_coli_FVEC1412",57,24,81
"Escherichia_coli_G58_1",55,26,81
"Escherichia_coli_H120",51,26,77
"Escherichia_coli_H252",57,30,87
"Escherichia_coli_H263",59,31,90
"Escherichia_coli_H299",56,30,86
"Escherichia_coli_H30",56,29,85
"Escherichia_coli_H397",58,29,87
"Escherichia_coli_H489",55,28,83
"Escherichia_coli_H494",57,27,84
"Escherichia_coli_H591",55,25,80
"Escherichia_coli_H730",57,28,85
"Escherichia_coli_H736",56,28,84
"Escherichia_coli_HM26",56,30,86
"Escherichia_coli_HM27",54,27,81
"Escherichia_coli_HM46",55,27,82
"Escherichia_coli_HM605",58,28,86
"Escherichia_coli_HM65",56,32,88
"Escherichia_coli_HS",56,29,85
"Escherichia_coli_IAI1",56,30,86
"Escherichia_coli_IAI39",60,29,89
"Escherichia_coli_IHE3034",59,31,90
"Escherichia_coli_IMT2125",62,33,95
"Escherichia_coli_J53",55,26,81
"Escherichia_coli_JB1_95",55,24,79
"Escherichia_coli_Jurua_18_11",55,27,82
"Escherichia_coli_Jurua_20_10",54,25,79
"Escherichia_coli_KD2",52,28,80
"Escherichia_coli_KO11",58,31,89
"Escherichia_coli_KTE1",53,26,79
"Escherichia_coli_KTE10",59,26,85
"Escherichia_coli_KTE100",53,25,78
"Escherichia_coli_KTE101",57,26,83
"Escherichia_coli_KTE102",57,27,84
"Escherichia_coli_KTE103",57,27,84
"Escherichia_coli_KTE104",61,30,91
"Escherichia_coli_KTE105",54,27,81
"Escherichia_coli_KTE106",56,28,84
"Escherichia_coli_KTE107",59,26,85
"Escherichia_coli_KTE108",55,29,84
"Escherichia_coli_KTE109",59,29,88
"Escherichia_coli_KTE11",52,24,76
"Escherichia_coli_KTE111",59,30,89
"Escherichia_coli_KTE112",55,26,81
"Escherichia_coli_KTE113",64,31,95
"Escherichia_coli_KTE114",51,29,80
"Escherichia_coli_KTE115",55,26,81
"Escherichia_coli_KTE116",55,25,80
"Escherichia_coli_KTE117",53,27,80
"Escherichia_coli_KTE118",57,30,87
"Escherichia_coli_KTE119",58,27,85
"Escherichia_coli_KTE12",57,28,85
"Escherichia_coli_KTE120",55,29,84
"Escherichia_coli_KTE121",58,27,85
"Escherichia_coli_KTE122",56,25,81
"Escherichia_coli_KTE123",58,29,87
"Escherichia_coli_KTE124",58,30,88
"Escherichia_coli_KTE125",55,27,82
"Escherichia_coli_KTE126",57,28,85
"Escherichia_coli_KTE127",56,31,87
"Escherichia_coli_KTE128",56,28,84
"Escherichia_coli_KTE129",55,29,84
"Escherichia_coli_KTE13",53,26,79
"Escherichia_coli_KTE130",57,32,89
"Escherichia_coli_KTE131",63,30,93
"Escherichia_coli_KTE132",57,32,89
"Escherichia_coli_KTE133",60,30,90
"Escherichia_coli_KTE134",54,29,83
"Escherichia_coli_KTE135",54,28,82
"Escherichia_coli_KTE136",58,26,84
"Escherichia_coli_KTE137",62,30,92
"Escherichia_coli_KTE138",54,23,77
"Escherichia_coli_KTE139",57,28,85
"Escherichia_coli_KTE14",54,27,81
"Escherichia_coli_KTE140",55,26,81
"Escherichia_coli_KTE141",62,30,92
"Escherichia_coli_KTE142",56,25,81
"Escherichia_coli_KTE143",56,27,83
"Escherichia_coli_KTE144",56,32,88
"Escherichia_coli_KTE145",56,30,86
"Escherichia_coli_KTE146",58,31,89
"Escherichia_coli_KTE147",52,29,81
"Escherichia_coli_KTE148",60,29,89
"Escherichia_coli_KTE15",60,29,89
"Escherichia_coli_KTE150",58,28,86
"Escherichia_coli_KTE153",59,30,89
"Escherichia_coli_KTE154",54,28,82
"Escherichia_coli_KTE155",55,27,82
"Escherichia_coli_KTE156",57,28,85
"Escherichia_coli_KTE157",53,26,79
"Escherichia_coli_KTE158",59,27,86
"Escherichia_coli_KTE159",57,26,83
"Escherichia_coli_KTE16",58,27,85
"Escherichia_coli_KTE160",64,30,94
"Escherichia_coli_KTE161",53,29,82
"Escherichia_coli_KTE162",59,29,88
"Escherichia_coli_KTE163",55,28,83
"Escherichia_coli_KTE165",61,29,90
"Escherichia_coli_KTE166",53,28,81
"Escherichia_coli_KTE167",61,31,92
"Escherichia_coli_KTE168",58,30,88
"Escherichia_coli_KTE169",55,28,83
"Escherichia_coli_KTE17",58,28,86
"Escherichia_coli_KTE170",55,26,81
"Escherichia_coli_KTE171",55,26,81
"Escherichia_coli_KTE172",50,27,77
"Escherichia_coli_KTE173",59,32,91
"Escherichia_coli_KTE174",64,30,94
"Escherichia_coli_KTE175",62,33,95
"Escherichia_coli_KTE176",58,27,85
"Escherichia_coli_KTE177",59,29,88
"Escherichia_coli_KTE178",63,35,98
"Escherichia_coli_KTE179",61,29,90
"Escherichia_coli_KTE18",59,35,94
"Escherichia_coli_KTE180",58,28,86
"Escherichia_coli_KTE181",58,27,85
"Escherichia_coli_KTE182",54,26,80
"Escherichia_coli_KTE183",60,27,87
"Escherichia_coli_KTE184",59,27,86
"Escherichia_coli_KTE185",57,28,85
"Escherichia_coli_KTE186",58,27,85
"Escherichia_coli_KTE187",61,30,91
"Escherichia_coli_KTE188",61,24,85
"Escherichia_coli_KTE189",56,29,85
"Escherichia_coli_KTE19",57,28,85
"Escherichia_coli_KTE190",53,25,78
"Escherichia_coli_KTE191",60,28,88
"Escherichia_coli_KTE192",58,30,88
"Escherichia_coli_KTE193",59,26,85
"Escherichia_coli_KTE194",59,28,87
"Escherichia_coli_KTE195",58,28,86
"Escherichia_coli_KTE196",55,26,81
"Escherichia_coli_KTE197",52,26,78
"Escherichia_coli_KTE198",55,25,80
"Escherichia_coli_KTE199",56,26,82
"Escherichia_coli_KTE2",55,28,83
"Escherichia_coli_KTE20",56,31,87
"Escherichia_coli_KTE200",54,24,78
"Escherichia_coli_KTE201",58,31,89
"Escherichia_coli_KTE202",55,27,82
"Escherichia_coli_KTE203",56,25,81
"Escherichia_coli_KTE204",58,31,89
"Escherichia_coli_KTE205",54,27,81
"Escherichia_coli_KTE206",58,31,89
"Escherichia_coli_KTE207",62,28,90
"Escherichia_coli_KTE208",54,29,83
"Escherichia_coli_KTE209",60,30,90
"Escherichia_coli_KTE21",55,27,82
"Escherichia_coli_KTE210",52,29,81
"Escherichia_coli_KTE211",60,32,92
"Escherichia_coli_KTE212",54,25,79
"Escherichia_coli_KTE213",55,31,86
"Escherichia_coli_KTE214",58,28,86
"Escherichia_coli_KTE215",58,28,86
"Escherichia_coli_KTE216",58,26,84
"Escherichia_coli_KTE217",59,29,88
"Escherichia_coli_KTE218",58,28,86
"Escherichia_coli_KTE219",53,29,82
"Escherichia_coli_KTE22",57,28,85
"Escherichia_coli_KTE220",61,32,93
"Escherichia_coli_KTE221",55,27,82
"Escherichia_coli_KTE222",51,27,78
"Escherichia_coli_KTE223",61,32,93
"Escherichia_coli_KTE224",55,25,80
"Escherichia_coli_KTE225",58,30,88
"Escherichia_coli_KTE226",59,28,87
"Escherichia_coli_KTE227",52,30,82
"Escherichia_coli_KTE228",52,30,82
"Escherichia_coli_KTE229",58,27,85
"Escherichia_coli_KTE23",58,31,89
"Escherichia_coli_KTE230",59,29,88
"Escherichia_coli_KTE231",53,29,82
"Escherichia_coli_KTE232",54,26,80
"Escherichia_coli_KTE233",55,28,83
"Escherichia_coli_KTE234",51,27,78
"Escherichia_coli_KTE235",57,27,84
"Escherichia_coli_KTE236",57,27,84
"Escherichia_coli_KTE237",56,28,84
"Escherichia_coli_KTE24",57,26,83
"Escherichia_coli_KTE240",63,33,96
"Escherichia_coli_KTE25",58,28,86
"Escherichia_coli_KTE26",60,26,86
"Escherichia_coli_KTE27",58,29,87
"Escherichia_coli_KTE28",60,31,91
"Escherichia_coli_KTE29",57,24,81
"Escherichia_coli_KTE3",60,29,89
"Escherichia_coli_KTE31",57,29,86
"Escherichia_coli_KTE33",55,28,83
"Escherichia_coli_KTE34",59,30,89
"Escherichia_coli_KTE35",55,27,82
"Escherichia_coli_KTE36",53,28,81
"Escherichia_coli_KTE37",51,24,75
"Escherichia_coli_KTE38",57,29,86
"Escherichia_coli_KTE39",61,29,90
"Escherichia_coli_KTE4",57,27,84
"Escherichia_coli_KTE40",55,30,85
"Escherichia_coli_KTE41",60,29,89
"Escherichia_coli_KTE42",53,27,80
"Escherichia_coli_KTE43",53,30,83
"Escherichia_coli_KTE44",54,25,79
"Escherichia_coli_KTE45",57,28,85
"Escherichia_coli_KTE46",58,28,86
"Escherichia_coli_KTE47",58,30,88
"Escherichia_coli_KTE48",54,26,80
"Escherichia_coli_KTE49",58,28,86
"Escherichia_coli_KTE5",53,28,81
"Escherichia_coli_KTE50",61,29,90
"Escherichia_coli_KTE51",58,28,86
"Escherichia_coli_KTE53",55,29,84
"Escherichia_coli_KTE54",54,28,82
"Escherichia_coli_KTE55",57,29,86
"Escherichia_coli_KTE56",58,28,86
"Escherichia_coli_KTE57",51,24,75
"Escherichia_coli_KTE58",59,28,87
"Escherichia_coli_KTE59",56,28,84
"Escherichia_coli_KTE6",61,30,91
"Escherichia_coli_KTE60",58,28,86
"Escherichia_coli_KTE61",53,24,77
"Escherichia_coli_KTE62",54,29,83
"Escherichia_coli_KTE63",58,26,84
"Escherichia_coli_KTE64",54,27,81
"Escherichia_coli_KTE65",60,31,91
"Escherichia_coli_KTE66",52,26,78
"Escherichia_coli_KTE67",59,30,89
"Escherichia_coli_KTE68",51,26,77
"Escherichia_coli_KTE69",53,25,78
"Escherichia_coli_KTE7",54,26,80
"Escherichia_coli_KTE70",53,26,79
"Escherichia_coli_KTE71",50,25,75
"Escherichia_coli_KTE72",57,28,85
"Escherichia_coli_KTE73",54,27,81
"Escherichia_coli_KTE74",53,25,78
"Escherichia_coli_KTE75",54,26,80
"Escherichia_coli_KTE76",64,33,97
"Escherichia_coli_KTE77",56,24,80
"Escherichia_coli_KTE78",57,27,84
"Escherichia_coli_KTE79",56,28,84
"Escherichia_coli_KTE8",57,30,87
"Escherichia_coli_KTE80",56,28,84
"Escherichia_coli_KTE81",57,28,85
"Escherichia_coli_KTE82",52,26,78
"Escherichia_coli_KTE83",54,27,81
"Escherichia_coli_KTE84",58,32,90
"Escherichia_coli_KTE85",57,24,81
"Escherichia_coli_KTE86",63,33,96
"Escherichia_coli_KTE87",60,29,89
"Escherichia_coli_KTE88",57,27,84
"Escherichia_coli_KTE89",59,32,91
"Escherichia_coli_KTE9",52,29,81
"Escherichia_coli_KTE90",56,26,82
"Escherichia_coli_KTE91",54,27,81
"Escherichia_coli_KTE93",60,29,89
"Escherichia_coli_KTE94",58,29,87
"Escherichia_coli_KTE95",53,30,83
"Escherichia_coli_KTE96",54,27,81
"Escherichia_coli_KTE97",56,28,84
"Escherichia_coli_KTE98",52,29,81
"Escherichia_coli_KTE99",57,32,89
"Escherichia_coli_LCT_EC106",60,28,88
"Escherichia_coli_LCT_EC52",60,30,90
"Escherichia_coli_LCT_EC59",60,28,88
"Escherichia_coli_LF82",59,28,87
"Escherichia_coli_LT_68",57,34,91
"Escherichia_coli_M605",60,29,89
"Escherichia_coli_M718",56,28,84
"Escherichia_coli_M863",53,28,81
"Escherichia_coli_MA6",62,28,90
"Escherichia_coli_MP020940_1",54,24,78
"Escherichia_coli_MP020980_1",56,30,86
"Escherichia_coli_MP020980_2",57,28,85
"Escherichia_coli_MP021017_1",57,27,84
"Escherichia_coli_MP021017_10",56,33,89
"Escherichia_coli_MP021017_11",51,26,77
"Escherichia_coli_MP021017_12",54,28,82
"Escherichia_coli_MP021017_2",55,27,82
"Escherichia_coli_MP021017_3",56,29,85
"Escherichia_coli_MP021017_4",56,27,83
"Escherichia_coli_MP021017_5",55,28,83
"Escherichia_coli_MP021017_6",56,28,84
"Escherichia_coli_MP021017_9",52,23,75
"Escherichia_coli_MP021552_11",57,29,86
"Escherichia_coli_MP021552_12",57,26,83
"Escherichia_coli_MP021552_7",58,28,86
"Escherichia_coli_MP021552_8",51,28,79
"Escherichia_coli_MP021561_2",58,28,86
"Escherichia_coli_MP021561_3",57,26,83
"Escherichia_coli_MP021566_1",56,29,85
"Escherichia_coli_MS_107_1",56,27,83
"Escherichia_coli_MS_115_1",55,27,82
"Escherichia_coli_MS_116_1",59,31,90
"Escherichia_coli_MS_119_7",60,23,83
"Escherichia_coli_MS_124_1",55,27,82
"Escherichia_coli_MS_145_7",55,24,79
"Escherichia_coli_MS_146_1",56,27,83
"Escherichia_coli_MS_182_1",55,26,81
"Escherichia_coli_MS_185_1",57,30,87
"Escherichia_coli_MS_187_1",58,28,86
"Escherichia_coli_MS_196_1",59,28,87
"Escherichia_coli_MS_198_1",55,27,82
"Escherichia_coli_MS_200_1",60,32,92
"Escherichia_coli_MS_21_1",54,27,81
"Escherichia_coli_MS_45_1",60,32,92
"Escherichia_coli_MS_69_1",57,27,84
"Escherichia_coli_MS_78_1",57,23,80
"Escherichia_coli_MS_79_10",67,31,98
"Escherichia_coli_MS_84_1",57,28,85
"Escherichia_coli_MS_85_1",52,25,77
"Escherichia_coli_Mt1B1",56,21,77
"Escherichia_coli_N1",62,28,90
"Escherichia_coli_NA114",56,26,82
"Escherichia_coli_NC101",58,28,86
"Escherichia_coli_NCCP15647",57,29,86
"Escherichia_coli_NCCP15657",54,27,81
"Escherichia_coli_NCCP15658",56,29,85
"Escherichia_coli_NE037",54,31,85
"Escherichia_coli_NE098",56,29,85
"Escherichia_coli_NE1487",57,27,84
"Escherichia_coli_Nissle_1917",55,27,82
"Escherichia_coli_O08",59,29,88
"Escherichia_coli_O103H25_str_CVM9340",56,26,82
"Escherichia_coli_O103H25_str_NIPH_11060424",55,27,82
"Escherichia_coli_O103H2_str_12009",57,26,83
"Escherichia_coli_O103H2_str_CVM9450",57,24,81
"Escherichia_coli_O104_H4_str_01_09591",55,24,79
"Escherichia_coli_O104_H4_str_04_8351",51,26,77
"Escherichia_coli_O104_H4_str_09_7901",51,22,73
"Escherichia_coli_O104_H4_str_11_02030",56,24,80
"Escherichia_coli_O104_H4_str_11_02033_1",55,28,83
"Escherichia_coli_O104_H4_str_11_02092",56,27,83
"Escherichia_coli_O104_H4_str_11_02093",53,27,80
"Escherichia_coli_O104_H4_str_11_02281",56,24,80
"Escherichia_coli_O104_H4_str_11_02318",56,24,80
"Escherichia_coli_O104_H4_str_11_02913",56,24,80
"Escherichia_coli_O104_H4_str_11_03439",56,24,80
"Escherichia_coli_O104_H4_str_11_03943",56,24,80
"Escherichia_coli_O104_H4_str_11_04080",56,24,80
"Escherichia_coli_O104_H4_str_11_3677",59,26,85
"Escherichia_coli_O104_H4_str_11_4404",59,27,86
"Escherichia_coli_O104_H4_str_11_4522",54,25,79
"Escherichia_coli_O104_H4_str_11_4623",52,22,74
"Escherichia_coli_O104_H4_str_11_4632_C1",54,25,79
"Escherichia_coli_O104_H4_str_11_4632_C2",56,27,83
"Escherichia_coli_O104_H4_str_11_4632_C3",56,25,81
"Escherichia_coli_O104_H4_str_11_4632_C4",54,25,79
"Escherichia_coli_O104_H4_str_11_4632_C5",59,26,85
"Escherichia_coli_O104_H4_str_2009EL_2050",53,26,79
"Escherichia_coli_O104_H4_str_2009EL_2071",57,26,83
"Escherichia_coli_O104_H4_str_2011C_3493",55,29,84
"Escherichia_coli_O104_H4_str_C227_11",58,26,84
"Escherichia_coli_O104_H4_str_C236_11",55,28,83
"Escherichia_coli_O104_H4_str_Ec11_4984",55,26,81
"Escherichia_coli_O104_H4_str_Ec11_4986",54,26,80
"Escherichia_coli_O104_H4_str_Ec11_4987",57,24,81
"Escherichia_coli_O104_H4_str_Ec11_4988",55,27,82
"Escherichia_coli_O104_H4_str_Ec11_5603",55,27,82
"Escherichia_coli_O104_H4_str_Ec11_5604",54,26,80
